code	description	type
A157	Primary respiratory tuberculosis, confirmed bacteriologically and histologically	icd10
A158	Other respiratory tuberculosis, confirmed bacteriologically and histologically	icd10
A159	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically	icd10
A16	Respiratory tuberculosis, not confirmed bacteriologically or histologically	icd10
A160	Tuberculosis of lung, bacteriologically and histologically negative	icd10
A161	Tuberculosis of lung, bacteriological and histological examination not done	icd10
A162	Tuberculosis of lung, without mention of bacteriological or histological confirmation	icd10
A163	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation	icd10
A164	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation	icd10
A165	Tuberculous pleurisy, without mention of bacteriological or histological confirmation	icd10
A167	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation	icd10
A168	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation	icd10
A169	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation	icd10
A17	Tuberculosis of nervous system	icd10
A170	Tuberculous meningitis	icd10
A171	Meningeal tuberculoma	icd10
A178	Other tuberculosis of nervous system	icd10
A179	Tuberculosis of nervous system, unspecified	icd10
A18	Tuberculosis of other organs	icd10
A180	Tuberculosis of bones and joints	icd10
A181	Tuberculosis of genitourinary system	icd10
A182	Tuberculous peripheral lymphadenopathy	icd10
A183	Tuberculosis of intestines, peritoneum and mesenteric glands	icd10
A184	Tuberculosis of skin and subcutaneous tissue	icd10
A185	Tuberculosis of eye	icd10
A186	Tuberculosis of ear	icd10
A187	Tuberculosis of adrenal glands	icd10
A188	Tuberculosis of other specified organs	icd10
A19	Miliary tuberculosis	icd10
A190	Acute miliary tuberculosis of a single specified site	icd10
A191	Acute miliary tuberculosis of multiple sites	icd10
A192	Acute miliary tuberculosis, unspecified	icd10
A198	Other miliary tuberculosis	icd10
A199	Miliary tuberculosis, unspecified	icd10
A20	Plague	icd10
A200	Bubonic plague	icd10
A201	Cellulocutaneous plague	icd10
A202	Pneumonic plague	icd10
A203	Plague meningitis	icd10
A207	Septicaemic plague	icd10
A208	Other forms of plague	icd10
A209	Plague, unspecified	icd10
A21	Tularaemia	icd10
A210	Ulceroglandular tularaemia	icd10
A211	Oculoglandular tularaemia	icd10
A212	Pulmonary tularaemia	icd10
A213	Gastrointestinal tularaemia	icd10
A217	Generalized tularaemia	icd10
A218	Other forms of tularaemia	icd10
A219	Tularaemia, unspecified	icd10
A22	Anthrax	icd10
A220	Cutaneous anthrax	icd10
A221	Pulmonary anthrax	icd10
A222	Gastrointestinal anthrax	icd10
A227	Anthrax sepsis	icd10
A228	Other forms of anthrax	icd10
A229	Anthrax, unspecified	icd10
A23	Brucellosis	icd10
A230	Brucellosis due to Brucella melitensis	icd10
A231	Brucellosis due to Brucella abortus	icd10
A232	Brucellosis due to Brucella suis	icd10
A233	Brucellosis due to Brucella canis	icd10
A238	Other brucellosis	icd10
A239	Brucellosis, unspecified	icd10
A24	Glanders and melioidosis	icd10
A240	Glanders	icd10
A241	Acute and fulminating melioidosis	icd10
A242	Subacute and chronic melioidosis	icd10
A243	Other melioidosis	icd10
A244	Melioidosis, unspecified	icd10
A25	Rat-bite fevers	icd10
A250	Spirillosis	icd10
A251	Streptobacillosis	icd10
A259	Rat-bite fever, unspecified	icd10
A26	Erysipeloid	icd10
A260	Cutaneous erysipeloid	icd10
A267	Erysipelothrix sepsis	icd10
A268	Other forms of erysipeloid	icd10
A269	Erysipeloid, unspecified	icd10
A27	Leptospirosis	icd10
A270	Leptospirosis icterohaemorrhagica	icd10
A278	Other forms of leptospirosis	icd10
A279	Leptospirosis, unspecified	icd10
A28	Other zoonotic bacterial diseases, not elsewhere classified	icd10
A280	Pasteurellosis	icd10
A281	Cat-scratch disease	icd10
A282	Extraintestinal yersiniosis	icd10
A288	Other specified zoonotic bacterial diseases, not elsewhere classified	icd10
A289	Zoonotic bacterial disease, unspecified	icd10
A30	Leprosy [Hansen disease]	icd10
A300	Indeterminate leprosy	icd10
A301	Tuberculoid leprosy	icd10
A302	Borderline tuberculoid leprosy	icd10
A303	Borderline leprosy	icd10
A304	Borderline lepromatous leprosy	icd10
A305	Lepromatous leprosy	icd10
A308	Other forms of leprosy	icd10
A309	Leprosy, unspecified	icd10
A31	Infection due to other mycobacteria	icd10
A310	Pulmonary mycobacterial infection	icd10
A311	Cutaneous mycobacterial infection	icd10
A318	Other mycobacterial infections	icd10
A319	Mycobacterial infection, unspecified	icd10
A32	Listeriosis	icd10
A320	Cutaneous listeriosis	icd10
A321	Listerial meningitis and meningoencephalitis	icd10
A327	Listerial sepsis	icd10
A328	Other forms of listeriosis	icd10
A329	Listeriosis, unspecified	icd10
A33	Tetanus neonatorum	icd10
A34	Obstetrical tetanus	icd10
A35	Other tetanus	icd10
A36	Diphtheria	icd10
A360	Pharyngeal diphtheria	icd10
A361	Nasopharyngeal diphtheria	icd10
A362	Laryngeal diphtheria	icd10
A363	Cutaneous diphtheria	icd10
A368	Other diphtheria	icd10
A369	Diphtheria, unspecified	icd10
A37	Whooping cough	icd10
A370	Whooping cough due to Bordetella pertussis	icd10
A371	Whooping cough due to Bordetella parapertussis	icd10
A378	Whooping cough due to other Bordetella species	icd10
A379	Whooping cough, unspecified	icd10
A38	Scarlet fever	icd10
A39	Meningococcal infection	icd10
A390	Meningococcal meningitis	icd10
A391	Waterhouse-Friderichsen syndrome	icd10
A392	Acute meningococcaemia	icd10
A393	Chronic meningococcaemia	icd10
A394	Meningococcaemia, unspecified	icd10
A395	Meningococcal heart disease	icd10
A398	Other meningococcal infections	icd10
A399	Meningococcal infection, unspecified	icd10
A40	Streptococcal sepsis	icd10
A400	Sepsis due to streptococcus, group A	icd10
A401	Sepsis due to streptococcus, group B	icd10
A402	Sepsis due to streptococcus, group D and enterococcus	icd10
A403	Sepsis due to Streptococcus pneumoniae	icd10
A408	Other streptococcal sepsis	icd10
A409	Streptococcal sepsis, unspecified	icd10
A41	Other sepsis	icd10
A410	Sepsis due to Staphylococcus aureus	icd10
A411	Sepsis due to other specified staphylococcus	icd10
A412	Sepsis due to unspecified staphylococcus	icd10
A413	Sepsis due to Haemophilus influenzae	icd10
A414	Sepsis due to anaerobes	icd10
A415	Sepsis due to other Gram-negative organisms	icd10
A418	Other specified sepsis	icd10
A419	Sepsis, unspecified	icd10
A42	Actinomycosis	icd10
A420	Pulmonary actinomycosis	icd10
A421	Abdominal actinomycosis	icd10
A422	Cervicofacial actinomycosis	icd10
A427	Actinomycotic sepsis	icd10
A428	Other forms of actinomycosis	icd10
A429	Actinomycosis, unspecified	icd10
A43	Nocardiosis	icd10
A430	Pulmonary nocardiosis	icd10
A431	Cutaneous nocardiosis	icd10
A438	Other forms of nocardiosis	icd10
A439	Nocardiosis, unspecified	icd10
A44	Bartonellosis	icd10
A440	Systemic bartonellosis	icd10
A441	Cutaneous and mucocutaneous bartonellosis	icd10
A448	Other forms of bartonellosis	icd10
A449	Bartonellosis, unspecified	icd10
A46	Erysipelas	icd10
A48	Other bacterial diseases, not elsewhere classified	icd10
A480	Gas gangrene	icd10
A481	Legionnaires disease	icd10
A482	Nonpneumonic Legionnaires disease [Pontiac fever]	icd10
A483	Toxic shock syndrome	icd10
A484	Brazilian purpuric fever	icd10
A488	Other specified bacterial diseases	icd10
A49	Bacterial infection of unspecified site	icd10
A490	Staphylococcal infection, unspecified site	icd10
A491	Streptococcal and enterococcal infection, unspecified site	icd10
A492	Haemophilus influenzae infection, unspecified site	icd10
A493	Mycoplasma infection, unspecified site	icd10
A498	Other bacterial infections of unspecified site	icd10
A499	Bacterial infection, unspecified	icd10
A50	Congenital syphilis	icd10
A500	Early congenital syphilis, symptomatic	icd10
A501	Early congenital syphilis, latent	icd10
A502	Early congenital syphilis, unspecified	icd10
A503	Late congenital syphilitic oculopathy	icd10
A504	Late congenital neurosyphilis [juvenile neurosyphilis]	icd10
A505	Other late congenital syphilis, symptomatic	icd10
A506	Late congenital syphilis, latent	icd10
A507	Late congenital syphilis, unspecified	icd10
A509	Congenital syphilis, unspecified	icd10
A51	Early syphilis	icd10
A510	Primary genital syphilis	icd10
A511	Primary anal syphilis	icd10
A512	Primary syphilis of other sites	icd10
A513	Secondary syphilis of skin and mucous membranes	icd10
A514	Other secondary syphilis	icd10
A515	Early syphilis, latent	icd10
A519	Early syphilis, unspecified	icd10
A52	Late syphilis	icd10
A520	Cardiovascular syphilis	icd10
A521	Symptomatic neurosyphilis	icd10
A522	Asymptomatic neurosyphilis	icd10
A523	Neurosyphilis, unspecified	icd10
A527	Other symptomatic late syphilis	icd10
A528	Late syphilis, latent	icd10
A529	Late syphilis, unspecified	icd10
A53	Other and unspecified syphilis	icd10
A530	Latent syphilis, unspecified as early or late	icd10
A539	Syphilis, unspecified	icd10
A54	Gonococcal infection	icd10
A540	Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess	icd10
A541	Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess	icd10
A542	Gonococcal pelviperitonitis and other gonococcal genitourinary infections	icd10
A543	Gonococcal infection of eye	icd10
A544	Gonococcal infection of musculoskeletal system	icd10
A545	Gonococcal pharyngitis	icd10
A546	Gonococcal infection of anus and rectum	icd10
A548	Other gonococcal infections	icd10
A549	Gonococcal infection, unspecified	icd10
A55	Chlamydial lymphogranuloma (venereum)	icd10
A56	Other sexually transmitted chlamydial diseases	icd10
A560	Chlamydial infection of lower genitourinary tract	icd10
A561	Chlamydial infection of pelviperitoneum and other genitourinary organs	icd10
A562	Chlamydial infection of genitourinary tract, unspecified	icd10
A563	Chlamydial infection of anus and rectum	icd10
A564	Chlamydial infection of pharynx	icd10
A568	Sexually transmitted chlamydial infection of other sites	icd10
A57	Chancroid	icd10
A58	Granuloma inguinale	icd10
A59	Trichomoniasis	icd10
A590	Urogenital trichomoniasis	icd10
A598	Trichomoniasis of other sites	icd10
A599	Trichomoniasis, unspecified	icd10
A60	Anogenital herpesviral [herpes simplex] infection	icd10
A600	Herpesviral infection of genitalia and urogenital tract	icd10
A601	Herpesviral infection of perianal skin and rectum	icd10
A609	Anogenital herpesviral infection, unspecified	icd10
A63	Other predominantly sexually transmitted diseases, not elsewhere classified	icd10
A630	Anogenital (venereal) warts	icd10
A638	Other specified predominantly sexually transmitted diseases	icd10
A64	Unspecified sexually transmitted disease	icd10
A65	Nonvenereal syphilis	icd10
A66	Yaws	icd10
A660	Initial lesions of yaws	icd10
A661	Multiple papillomata and wet crab yaws	icd10
A662	Other early skin lesions of yaws	icd10
A663	Hyperkeratosis of yaws	icd10
A664	Gummata and ulcers of yaws	icd10
A665	Gangosa	icd10
A666	Bone and joint lesions of yaws	icd10
A667	Other manifestations of yaws	icd10
A668	Latent yaws	icd10
A669	Yaws, unspecified	icd10
A67	Pinta [carate]	icd10
A670	Primary lesions of pinta	icd10
A671	Intermediate lesions of pinta	icd10
A672	Late lesions of pinta	icd10
A673	Mixed lesions of pinta	icd10
A679	Pinta, unspecified	icd10
A68	Relapsing fevers	icd10
A680	Louse-borne relapsing fever	icd10
A681	Tick-borne relapsing fever	icd10
A689	Relapsing fever, unspecified	icd10
A69	Other spirochaetal infections	icd10
A690	Necrotizing ulcerative stomatitis	icd10
A691	Other Vincent infections	icd10
A692	Lyme disease	icd10
A698	Other specified spirochaetal infections	icd10
A699	Spirochaetal infection, unspecified	icd10
A70	Chlamydia psittaci infection	icd10
A71	Trachoma	icd10
A710	Initial stage of trachoma	icd10
A711	Active stage of trachoma	icd10
A719	Trachoma, unspecified	icd10
A74	Other diseases caused by chlamydiae	icd10
A740	Chlamydial conjunctivitis	icd10
A748	Other chlamydial diseases	icd10
A749	Chlamydial infection, unspecified	icd10
A75	Typhus fever	icd10
A750	Epidemic louse-borne typhus fever due to Rickettsia prowazekii	icd10
A751	Recrudescent typhus [Brill disease]	icd10
A752	Typhus fever due to Rickettsia typhi	icd10
A753	Typhus fever due to Rickettsia tsutsugamushi	icd10
A759	Typhus fever, unspecified	icd10
A77	Spotted fever [tick-borne rickettsioses]	icd10
A770	Spotted fever due to Rickettsia rickettsii	icd10
A771	Spotted fever due to Rickettsia conorii	icd10
A772	Spotted fever due to Rickettsia sibirica	icd10
A773	Spotted fever due to Rickettsia australis	icd10
A778	Other spotted fevers	icd10
A779	Spotted fever, unspecified	icd10
A78	Q fever	icd10
A79	Other rickettsioses	icd10
A790	Trench fever	icd10
A791	Rickettsialpox due to Rickettsia akari	icd10
A798	Other specified rickettsioses	icd10
A799	Rickettsiosis, unspecified	icd10
A80	Acute poliomyelitis	icd10
A800	Acute paralytic poliomyelitis, vaccine-associated	icd10
A801	Acute paralytic poliomyelitis, wild virus, imported	icd10
A802	Acute paralytic poliomyelitis, wild virus, indigenous	icd10
A803	Acute paralytic poliomyelitis, other and unspecified	icd10
A804	Acute nonparalytic poliomyelitis	icd10
A809	Acute poliomyelitis, unspecified	icd10
A81	Atypical virus infections of central nervous system	icd10
A810	Creutzfeldt-Jakob disease	icd10
A811	Subacute sclerosing panencephalitis	icd10
A812	Progressive multifocal leukoencephalopathy	icd10
A818	Other atypical virus infections of central nervous system	icd10
A819	Atypical virus infection of central nervous system, unspecified	icd10
A82	Rabies	icd10
A820	Sylvatic rabies	icd10
A821	Urban rabies	icd10
A829	Rabies, unspecified	icd10
A83	Mosquito-borne viral encephalitis	icd10
A830	Japanese encephalitis	icd10
A831	Western equine encephalitis	icd10
A832	Eastern equine encephalitis	icd10
A833	St Louis encephalitis	icd10
A834	Australian encephalitis	icd10
A835	California encephalitis	icd10
A836	Rocio virus disease	icd10
A838	Other mosquito-borne viral encephalitis	icd10
A839	Mosquito-borne viral encephalitis, unspecified	icd10
A84	Tick-borne viral encephalitis	icd10
A840	Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]	icd10
A841	Central European tick-borne encephalitis	icd10
A848	Other tick-borne viral encephalitis	icd10
A849	Tick-borne viral encephalitis, unspecified	icd10
A85	Other viral encephalitis, not elsewhere classified	icd10
A850	Enteroviral encephalitis	icd10
A851	Adenoviral encephalitis	icd10
A852	Arthropod-borne viral encephalitis, unspecified	icd10
A858	Other specified viral encephalitis	icd10
A86	Unspecified viral encephalitis	icd10
A87	Viral meningitis	icd10
A870	Enteroviral meningitis	icd10
A871	Adenoviral meningitis	icd10
A872	Lymphocytic choriomeningitis	icd10
A878	Other viral meningitis	icd10
A879	Viral meningitis, unspecified	icd10
A88	Other viral infections of central nervous system, not elsewhere classified	icd10
A880	Enteroviral exanthematous fever [Boston exanthem]	icd10
A881	Epidemic vertigo	icd10
A888	Other specified viral infections of central nervous system	icd10
A89	Unspecified viral infection of central nervous system	icd10
A92	Other mosquito-borne viral fevers	icd10
A920	Chikungunya virus disease	icd10
A921	O'nyong-nyong fever	icd10
A922	Venezuelan equine fever	icd10
A923	West Nile virus infection	icd10
A924	Rift Valley fever	icd10
A925	Zika virus disease	icd10
A928	Other specified mosquito-borne viral fevers	icd10
A929	Mosquito-borne viral fever, unspecified	icd10
A93	Other arthropod-borne viral fevers, not elsewhere classified	icd10
A930	Oropouche virus disease	icd10
A931	Sandfly fever	icd10
A932	Colorado tick fever	icd10
A938	Other specified arthropod-borne viral fevers	icd10
A94	Unspecified arthropod-borne viral fever	icd10
A95	Yellow fever	icd10
A950	Sylvatic yellow fever	icd10
A951	Urban yellow fever	icd10
A959	Yellow fever, unspecified	icd10
A96	Arenaviral haemorrhagic fever	icd10
A960	Junin haemorrhagic fever	icd10
A961	Machupo haemorrhagic fever	icd10
A962	Lassa fever	icd10
A968	Other arenaviral haemorrhagic fevers	icd10
A969	Arenaviral haemorrhagic fever, unspecified	icd10
A97	Dengue	icd10
A970	Dengue without warning signs	icd10
A971	Dengue with warning signs	icd10
A972	Severe Dengue	icd10
A979	Dengue, unspecified	icd10
A98	Other viral haemorrhagic fevers, not elsewhere classified	icd10
A980	Crimean-Congo haemorrhagic fever	icd10
A981	Omsk haemorrhagic fever	icd10
A982	Kyasanur Forest disease	icd10
A983	Marburg virus disease	icd10
A984	Ebola virus disease	icd10
A985	Haemorrhagic fever with renal syndrome	icd10
A988	Other specified viral haemorrhagic fevers	icd10
A99	Unspecified viral haemorrhagic fever	icd10
B00	Herpesviral [herpes simplex] infections	icd10
B000	Eczema herpeticum	icd10
B001	Herpesviral vesicular dermatitis	icd10
B002	Herpesviral gingivostomatitis and pharyngotonsillitis	icd10
B003	Herpesviral meningitis	icd10
B004	Herpesviral encephalitis	icd10
B005	Herpesviral ocular disease	icd10
B007	Disseminated herpesviral disease	icd10
B008	Other forms of herpesviral infection	icd10
B009	Herpesviral infection, unspecified	icd10
B01	Varicella [chickenpox]	icd10
B010	Varicella meningitis	icd10
B011	Varicella encephalitis	icd10
B012	Varicella pneumonia	icd10
B018	Varicella with other complications	icd10
B019	Varicella without complication	icd10
B02	Zoster [herpes zoster]	icd10
B020	Zoster encephalitis	icd10
B021	Zoster meningitis	icd10
B022	Zoster with other nervous system involvement	icd10
B023	Zoster ocular disease	icd10
B027	Disseminated zoster	icd10
B028	Zoster with other complications	icd10
B029	Zoster without complication	icd10
B03	Smallpox	icd10
B04	Monkeypox	icd10
B05	Measles	icd10
B050	Measles complicated by encephalitis	icd10
B051	Measles complicated by meningitis	icd10
B052	Measles complicated by pneumonia	icd10
B053	Measles complicated by otitis media	icd10
B054	Measles with intestinal complications	icd10
B058	Measles with other complications	icd10
B059	Measles without complication	icd10
B06	Rubella [German measles]	icd10
B060	Rubella with neurological complications	icd10
B068	Rubella with other complications	icd10
B069	Rubella without complication	icd10
B07	Viral warts	icd10
B08	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	icd10
B080	Other orthopoxvirus infections	icd10
B081	Molluscum contagiosum	icd10
B082	Exanthema subitum [sixth disease]	icd10
B083	Erythema infectiosum [fifth disease]	icd10
B084	Enteroviral vesicular stomatitis with exanthem	icd10
B085	Enteroviral vesicular pharyngitis	icd10
B088	Other specified viral infections characterized by skin and mucous membrane lesions	icd10
B09	Unspecified viral infection characterized by skin and mucous membrane lesions	icd10
B15	Acute hepatitis A	icd10
B150	Hepatitis A with hepatic coma	icd10
B159	Hepatitis A without hepatic coma	icd10
B16	Acute hepatitis B	icd10
B160	Acute hepatitis B with delta-agent (coinfection) with hepatic coma	icd10
B161	Acute hepatitis B with delta-agent (coinfection) without hepatic coma	icd10
B162	Acute hepatitis B without delta-agent with hepatic coma	icd10
B169	Acute hepatitis B without delta-agent and without hepatic coma	icd10
B17	Other acute viral hepatitis	icd10
B170	Acute delta-(super)infection in chronic hepatitis B	icd10
B171	Acute hepatitis C	icd10
B172	Acute hepatitis E	icd10
B178	Other specified acute viral hepatitis	icd10
B179	Acute viral hepatitis, unspecified	icd10
B18	Chronic viral hepatitis	icd10
B180	Chronic viral hepatitis B with delta-agent	icd10
B1800	Chronic viral hepatitis B with delta-agent: immune-tolerant phase	icd10
B1809	Chronic viral hepatitis B with delta-agent: other and unspecified phase	icd10
B181	Chronic viral hepatitis B without delta-agent	icd10
B1810	Chronic viral hepatitis B without delta-agent: immune-tolerant phase	icd10
B1819	Chronic viral hepatitis B without delta-agent: other and unspecified phase	icd10
B182	Chronic viral hepatitis C	icd10
B188	Other chronic viral hepatitis	icd10
B189	Chronic viral hepatitis, unspecified	icd10
B19	Unspecified viral hepatitis	icd10
B190	Unspecified viral hepatitis with hepatic coma	icd10
B199	Unspecified viral hepatitis without hepatic coma	icd10
B20	Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases	icd10
B200	HIV disease resulting in mycobacterial infection	icd10
B201	HIV disease resulting in other bacterial infections	icd10
B202	HIV disease resulting in cytomegaloviral disease	icd10
B203	HIV disease resulting in other viral infections	icd10
B204	HIV disease resulting in candidiasis	icd10
B205	HIV disease resulting in other mycoses	icd10
B206	HIV disease resulting in Pneumocystis jirovecii pneumonia	icd10
B207	HIV disease resulting in multiple infections	icd10
B208	HIV disease resulting in other infectious and parasitic diseases	icd10
B209	HIV disease resulting in unspecified infectious or parasitic disease	icd10
B21	Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms	icd10
B210	HIV disease resulting in Kaposi sarcoma	icd10
B211	HIV disease resulting in Burkitt lymphoma	icd10
B212	HIV disease resulting in other types of non-Hodgkin lymphoma	icd10
B213	HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue	icd10
B217	HIV disease resulting in multiple malignant neoplasms	icd10
B218	HIV disease resulting in other malignant neoplasms	icd10
B219	HIV disease resulting in unspecified malignant neoplasm	icd10
B22	Human immunodeficiency virus [HIV] disease resulting in other specified diseases	icd10
B220	HIV disease resulting in encephalopathy	icd10
B221	HIV disease resulting in lymphoid interstitial pneumonitis	icd10
B222	HIV disease resulting in wasting syndrome	icd10
B227	HIV disease resulting in multiple diseases classified elsewhere	icd10
B23	Human immunodeficiency virus [HIV] disease resulting in other conditions	icd10
B230	Acute HIV infection syndrome	icd10
B231	HIV disease resulting in (persistent) generalized lymphadenopathy	icd10
B232	HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified	icd10
B238	HIV disease resulting in other specified conditions	icd10
B24	Unspecified human immunodeficiency virus [HIV] disease	icd10
B25	Cytomegaloviral disease	icd10
B250	Cytomegaloviral pneumonitis	icd10
B251	Cytomegaloviral hepatitis	icd10
B252	Cytomegaloviral pancreatitis	icd10
B258	Other cytomegaloviral diseases	icd10
B259	Cytomegaloviral disease, unspecified	icd10
B26	Mumps	icd10
B260	Mumps orchitis	icd10
B261	Mumps meningitis	icd10
B262	Mumps encephalitis	icd10
B263	Mumps pancreatitis	icd10
B268	Mumps with other complications	icd10
B269	Mumps without complication	icd10
B27	Infectious mononucleosis	icd10
B270	Gammaherpesviral mononucleosis	icd10
B271	Cytomegaloviral mononucleosis	icd10
B278	Other infectious mononucleosis	icd10
B279	Infectious mononucleosis, unspecified	icd10
B30	Viral conjunctivitis	icd10
B300	Keratoconjunctivitis due to adenovirus	icd10
B301	Conjunctivitis due to adenovirus	icd10
B302	Viral pharyngoconjunctivitis	icd10
B303	Acute epidemic haemorrhagic conjunctivitis (enteroviral)	icd10
B308	Other viral conjunctivitis	icd10
B309	Viral conjunctivitis, unspecified	icd10
B33	Other viral diseases, not elsewhere classified	icd10
B330	Epidemic myalgia	icd10
B331	Ross River disease	icd10
B332	Viral carditis	icd10
B333	Retrovirus infections, not elsewhere classified	icd10
B334	Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]	icd10
B338	Other specified viral diseases	icd10
B34	Viral infection of unspecified site	icd10
B340	Adenovirus infection, unspecified site	icd10
B341	Enterovirus infection, unspecified site	icd10
B342	Coronavirus infection, unspecified site	icd10
B343	Parvovirus infection, unspecified site	icd10
B344	Papovavirus infection, unspecified site	icd10
B348	Other viral infections of unspecified site	icd10
B349	Viral infection, unspecified	icd10
B35	Dermatophytosis	icd10
B350	Tinea barbae and tinea capitis	icd10
B351	Tinea unguium	icd10
B352	Tinea manuum	icd10
B353	Tinea pedis	icd10
B354	Tinea corporis	icd10
B355	Tinea imbricata	icd10
B356	Tinea inguinalis [Tinea cruris]	icd10
B358	Other dermatophytoses	icd10
B359	Dermatophytosis, unspecified	icd10
B36	Other superficial mycoses	icd10
B360	Pityriasis versicolor	icd10
B361	Tinea nigra	icd10
B362	White piedra	icd10
B363	Black piedra	icd10
B368	Other specified superficial mycoses	icd10
B369	Superficial mycosis, unspecified	icd10
B37	Candidiasis	icd10
B370	Candidal stomatitis	icd10
B371	Pulmonary candidiasis	icd10
B372	Candidiasis of skin and nail	icd10
B373	Candidiasis of vulva and vagina	icd10
B374	Candidiasis of other urogenital sites	icd10
B375	Candidal meningitis	icd10
B376	Candidal endocarditis	icd10
B377	Candidal sepsis	icd10
B378	Candidiasis of other sites	icd10
B379	Candidiasis, unspecified	icd10
B38	Coccidioidomycosis	icd10
B380	Acute pulmonary coccidioidomycosis	icd10
B381	Chronic pulmonary coccidioidomycosis	icd10
B382	Pulmonary coccidioidomycosis, unspecified	icd10
B383	Cutaneous coccidioidomycosis	icd10
B384	Coccidioidomycosis meningitis	icd10
B387	Disseminated coccidioidomycosis	icd10
B388	Other forms of coccidioidomycosis	icd10
B389	Coccidioidomycosis, unspecified	icd10
B39	Histoplasmosis	icd10
